Codigo_Accidente;Formulario;Longitud;Latitud;Direccion;Fecha_Acc;AA_Acc;MM_Acc;DD_Mes_Acc;Dia_Semana_Acc;Hora_Acc;Min_Acc;Localidad;Clase_Acc;Elemento_Choque;Tipo_Objeto_Fijo;Gravedad_Indicador_Tradicional;Gravedad_indicador_30d;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual;
10590488;A001570014;-74,0949059;4,55576844;CL 37 S- KR 2 E 02;28/04/2023;2023;Abril;28;viernes;10;54;SAN CRISTOBAL;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10590490;A001570010;-74,13117675;4,699952205;CL 63 - KR 110  02;28/04/2023;2023;Abril;28;viernes;7;39;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592217;A001571794;-74,08711017;4,530822974;KR 15 E- CL 58 S 02;10/06/2023;2023;Junio;10;sábado;21;40;SAN CRISTOBAL;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592228;A001571783;-74,13339601;4,539796581;AV AVENIDA BOYACA - CL 71 S 02;10/06/2023;2023;Junio;10;sábado;2;28;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10592636;A001572156;-74,04186397;4,742496517;CL 163 - KR 18 A 02;18/06/2023;2023;Junio;18;domingo;12;27;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592681;A001572440;-74,13280243;4,603081699;KR 68 - CL 38 S 02;21/06/2023;2023;Junio;21;miércoles;19;16;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;SI;;;;;;;;;;;;;
10592708;A001571469;-74,14029781;4,552565877;KR 17 G - CL 65 A S 02;20/06/2023;2023;Junio;20;martes;10;40;CIUDAD BOLIVAR;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;SI;;;;;;;;;;;;;;
10592709;A001571642;-74,17233876;4,64510164;KR 94 C - CL 39 S 02;22/06/2023;2023;Junio;22;jueves;5;30;KENNEDY;Otro;;;Con Heridos;Con Heridos;;;;;;;;;;;;;;;;;;;;;
10592710;A001570501;-74,08463774;4,613413033;CL 22 - KR 18  02;20/06/2023;2023;Junio;20;martes;9;15;LOS MARTIRES;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592718;A001572439;-74,09919945;4,617511526;CL 12 - KR 37  02;21/06/2023;2023;Junio;21;miércoles;14;20;PUENTE ARANDA;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592721;A001571698;-74,09242017;4,60403293;KR 24 - CL 7  02;22/06/2023;2023;Junio;22;jueves;13;44;LOS MARTIRES;Choque;Objeto Fijo;Vehiculo estacionado;Solo Daños;Solo Daños;;;SI;;;;;;;;;;;;;;;;;;
10592753;A001572436;-74,17401052;4,638237704;CL 42 F S- KR 90 A 02;23/06/2023;2023;Junio;23;viernes;20;0;KENNEDY;Otro;;;Con Heridos;Con Heridos;;;;;;;SI;;;;SI;;SI;;SI;;;;;;
10592756;A001571941;-74,1291623;4,630119496;AC 6 A - KR 69  02;22/06/2023;2023;Junio;22;jueves;6;0;KENNEDY;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;;;;;;;;;;;;
10592759;A001572566;-74,10353462;4,605123651;CL 3 - KR 31 D 02;23/06/2023;2023;Junio;23;viernes;22;46;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;;;SI;;SI;;;;;;;;;;;
10593868;A001573697;-74,14921906;4,602589278;CL 45 S- KR 72 I 02;23/07/2023;2023;Julio;23;domingo;3;8;KENNEDY;Choque;Objeto Fijo;Poste;Con Heridos;Con Heridos;;;;;;;;;;;;;;;;;;;;;
10593869;A001573298;-74,08482765;4,74174863;KR 92 - CL 147  02;21/07/2023;2023;Julio;21;viernes;15;53;SUBA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;;;SI;;SI;;;;;;;;;;;
10593870;A001573442;-74,15415103;4,631456793;KR 80 - CL 2 S 02;22/07/2023;2023;Julio;22;sábado;9;0;KENNEDY;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;;;;;;;;;;;
